,zip_code,district,city,lat,lng
0,100,中正區,台北市,25.0324,121.52
1,103,大同區,台北市,25.0634,121.513
2,104,中山區,台北市,25.0697,121.538
3,105,松山區,台北市,25.06,121.558
4,106,大安區,台北市,25.0268,121.543
5,108,萬華區,台北市,25.0286,121.498
6,110,信義區,台北市,25.0306,121.572
7,111,士林區,台北市,25.1255,121.551
8,112,北投區,台北市,25.1481,121.518
9,114,內湖區,台北市,25.0837,121.592
10,115,南港區,台北市,25.036,121.61
11,116,文山區,台北市,24.9886,121.574
12,200,仁愛區,基隆市,25.1195,121.743
13,201,信義區,基隆市,25.1258,121.773
14,202,中正區,基隆市,25.1437,121.778
15,203,中山區,基隆市,25.1499,121.731
16,204,安樂區,基隆市,25.1414,121.708
17,205,暖暖區,基隆市,25.081,121.745
18,206,七堵區,基隆市,25.1096,121.684
19,207,萬里區,新北市,25.1757,121.644
20,208,金山區,新北市,25.2171,121.605
21,209,南竿鄉,連江縣,26.1543,119.931
22,210,北竿鄉,連江縣,26.2256,119.994
23,211,莒光鄉,連江縣,25.973,119.939
24,212,東引鄉,連江縣,26.3661,120.49
25,220,板橋區,新北市,25.0119,121.458
26,221,汐止區,新北市,25.0733,121.655
27,222,深坑區,新北市,24.9977,121.62
28,223,石碇區,新北市,24.9471,121.647
29,224,瑞芳區,新北市,25.0981,121.823
30,226,平溪區,新北市,25.0261,121.758
31,227,雙溪區,新北市,24.997,121.833
32,228,貢寮區,新北市,25.0249,121.918
33,231,新店區,新北市,24.9304,121.532
34,232,坪林區,新北市,24.911,121.724
35,233,烏來區,新北市,24.7882,121.541
36,234,永和區,新北市,25.0081,121.517
37,235,中和區,新北市,24.9909,121.494
38,236,土城區,新北市,24.9643,121.446
39,237,三峽區,新北市,24.8821,121.416
40,238,樹林區,新北市,24.9797,121.401
41,239,鶯歌區,新北市,24.9566,121.347
42,241,三重區,新北市,25.0628,121.487
43,242,新莊區,新北市,25.0358,121.437
44,243,泰山區,新北市,25.0555,121.416
45,244,林口區,新北市,25.1001,121.353
46,247,蘆洲區,新北市,25.0893,121.471
47,248,五股區,新北市,25.0961,121.433
48,249,八里區,新北市,25.1381,121.414
49,251,淡水區,新北市,25.1891,121.464
50,252,三芝區,新北市,25.2316,121.516
